@relation LaLiga-Matches-csv

@attribute HomeTeam {'La Coruna','Sp Gijon','Ath Bilbao','Ath Madrid',Celta,Espanol,Merida,Sevilla,Valladolid,Vallecano,Zaragoza,Albacete,Barcelona,Betis,'Real Madrid',Compostela,Oviedo,Salamanca,Santander,Sociedad,Tenerife,Valencia,Hercules,Logrones,Extremadura,Mallorca,Alaves,Villareal,Malaga,Numancia,'Las Palmas',Osasuna,Villarreal,Recreativo,Murcia,Getafe,Levante,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Eibar,Cordoba,Leganes,Girona,Huesca}
@attribute AwayTeam {Valencia,Albacete,Santander,Sociedad,Compostela,Salamanca,Betis,Tenerife,Barcelona,'Real Madrid',Oviedo,Sevilla,Merida,Zaragoza,'Ath Bilbao','La Coruna',Vallecano,Celta,'Ath Madrid','Sp Gijon',Espanol,Valladolid,Extremadura,Logrones,Hercules,Mallorca,Villareal,Alaves,Malaga,Numancia,Villarreal,Osasuna,'Las Palmas',Recreativo,Murcia,Levante,Getafe,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Cordoba,Eibar,Leganes,Girona,Huesca}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute FTR {H,A,D}

@data
Salamanca,'Ath Madrid',0,0,A
Tenerife,Santander,1,0,H
Valencia,Sevilla,0,0,H
Vallecano,Merida,3,0,H
Barcelona,Espanol,1,0,H
'Ath Bilbao',Sociedad,0,0,D
'Ath Madrid',Tenerife,1,0,H
Celta,Barcelona,0,0,H
Espanol,Valencia,1,0,H
'La Coruna',Betis,0,0,D
Merida,'Real Madrid',1,2,D
Santander,Albacete,2,2,D
Sevilla,Compostela,0,0,A
'Sp Gijon',Salamanca,2,1,H
Valladolid,Oviedo,2,2,D
Zaragoza,Vallecano,1,0,D
Albacete,'Ath Madrid',0,0,D
Betis,Valladolid,0,0,H
Barcelona,'La Coruna',0,1,D
Compostela,Espanol,1,1,H
Oviedo,Merida,0,0,D
'Real Madrid',Zaragoza,0,1,D
Salamanca,Sevilla,2,0,H
Sociedad,Santander,1,0,H
Tenerife,'Sp Gijon',1,0,H
Valencia,Celta,1,0,H
Vallecano,'Ath Bilbao',0,1,D
Valencia,'La Coruna',0,1,H
Albacete,'Sp Gijon',1,2,A
Barcelona,Valladolid,0,0,H
Betis,Merida,0,0,A
Compostela,Celta,1,1,D
Oviedo,Zaragoza,1,1,D
'Real Madrid',Vallecano,1,1,A
Salamanca,Espanol,1,0,D
Santander,'Ath Bilbao',1,0,D
Sociedad,'Ath Madrid',1,0,H
Tenerife,Sevilla,2,0,H
'Ath Bilbao','Real Madrid',0,1,A
'Ath Madrid',Santander,1,0,H
Celta,Salamanca,2,1,H
Espanol,Tenerife,0,1,H
'La Coruna',Compostela,1,0,H
Sevilla,Albacete,1,0,D
'Sp Gijon',Sociedad,0,1,D
Valladolid,Valencia,0,3,A
Vallecano,Oviedo,0,1,A
Zaragoza,Betis,0,1,A
Merida,Barcelona,0,0,D
Salamanca,'La Coruna',0,3,A
Albacete,Espanol,0,0,D
'Ath Madrid','Ath Bilbao',2,1,H
Barcelona,Zaragoza,1,0,H
Betis,Vallecano,0,0,D
Compostela,Valladolid,0,2,A
Oviedo,'Real Madrid',1,1,A
Santander,'Sp Gijon',1,1,D
Sociedad,Sevilla,1,0,H
Tenerife,Celta,1,0,H
Valencia,Merida,2,0,H
'Sp Gijon','Ath Madrid',0,1,A
Zaragoza,Valencia,1,0,H
'Ath Bilbao',Oviedo,0,1,A
Celta,Albacete,1,0,D
Espanol,Sociedad,0,0,D
'La Coruna',Tenerife,0,1,D
Merida,Compostela,0,0,A
'Real Madrid',Betis,2,2,H
Sevilla,Santander,0,1,A
Valladolid,Salamanca,0,0,H
Vallecano,Barcelona,1,0,D
'Ath Madrid',Sevilla,0,0,A
Barcelona,'Real Madrid',1,0,H
Valencia,Vallecano,2,0,H
Albacete,'La Coruna',1,0,H
Betis,Oviedo,1,0,H
Compostela,Zaragoza,0,2,H
Salamanca,Merida,1,0,D
Santander,Espanol,1,0,D
Sociedad,Celta,1,0,H
'Sp Gijon','Ath Bilbao',0,1,A
Tenerife,Valladolid,1,0,H
'Real Madrid',Valencia,0,0,D
Zaragoza,Salamanca,1,1,D
'Ath Bilbao',Betis,0,0,A
Celta,Santander,0,0,D
Espanol,'Ath Madrid',0,1,A
'La Coruna',Sociedad,0,1,D
Merida,Tenerife,2,0,H
Oviedo,Barcelona,1,1,A
Sevilla,'Sp Gijon',0,0,H
Valladolid,Albacete,1,0,H
Vallecano,Compostela,0,1,A
Santander,'La Coruna',1,0,H
Albacete,Merida,1,0,H
'Ath Madrid',Celta,2,2,H
Barcelona,Betis,0,0,H
Compostela,'Real Madrid',1,1,D
Salamanca,Vallecano,0,1,A
Sevilla,'Ath Bilbao',1,0,D
Sociedad,Valladolid,0,0,H
'Sp Gijon',Espanol,1,1,A
Tenerife,Zaragoza,1,1,A
Valencia,Oviedo,1,1,H
'Ath Bilbao',Barcelona,0,0,D
Espanol,Sevilla,0,0,A
Merida,Sociedad,0,1,A
'Real Madrid',Salamanca,2,0,H
Valladolid,Santander,1,0,H
Betis,Valencia,0,0,H
Celta,'Sp Gijon',0,0,D
'La Coruna','Ath Madrid',0,1,D
Oviedo,Compostela,1,1,H
Vallecano,Tenerife,0,1,A
Zaragoza,Albacete,1,1,H
Valencia,Barcelona,2,0,H
Albacete,Vallecano,1,1,A
'Ath Madrid',Valladolid,0,0,A
Compostela,Betis,0,0,A
Espanol,'Ath Bilbao',1,0,H
Salamanca,Oviedo,0,0,A
Santander,Merida,0,0,H
Sevilla,Celta,0,0,D
